#  dt dtz fluor_diode izero_diode refl scanNr sry sty
1.000000014901161194e-01 1.015779972076416016e+01 3.641390000000000000e+05 6.811900000000000000e+04 6.057090000000000000e+05 4.860000000000000000e+02 4.124599993228912354e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.021940040588378906e+01 4.534160000000000000e+05 6.808400000000000000e+04 5.338580000000000000e+05 4.860000000000000000e+02 4.149599969387054443e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.028100013732910156e+01 5.474990000000000000e+05 6.807300000000000000e+04 4.417700000000000000e+05 4.860000000000000000e+02 4.174599945545196533e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.034259986877441406e+01 6.020690000000000000e+05 6.811800000000000000e+04 4.117340000000000000e+05 4.860000000000000000e+02 4.199599921703338623e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.040400028228759766e+01 5.875550000000000000e+05 6.805700000000000000e+04 4.726850000000000000e+05 4.860000000000000000e+02 4.224599897861480713e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.046560001373291016e+01 5.063270000000000000e+05 6.805100000000000000e+04 6.042080000000000000e+05 4.860000000000000000e+02 4.249599874019622803e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.052719974517822266e+01 4.033200000000000000e+05 6.819300000000000000e+04 6.793360000000000000e+05 4.860000000000000000e+02 4.274600148200988770e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.058880043029785156e+01 3.172680000000000000e+05 6.810800000000000000e+04 7.305640000000000000e+05 4.860000000000000000e+02 4.299600124359130859e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.065040016174316406e+01 2.440970000000000000e+05 6.807200000000000000e+04 7.592520000000000000e+05 4.860000000000000000e+02 4.324600100517272949e-01 0.000000000000000000e+00
1.000000014901161194e-01 1.071179962158203125e+01 2.064810000000000000e+05 6.806100000000000000e+04 7.665030000000000000e+05 4.860000000000000000e+02 4.349600076675415039e-01 0.000000000000000000e+00
